swift-incits	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-institute	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-intel	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-iso	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-linux-foundation	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-microsoft	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-nist	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-primitives	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-rfc	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-riscv	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-standards	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-w3c	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
swift-whatwg	all	actions:write,actions_variables:write,administration:write,attestations:write,checks:write,code_quality:write,contents:write,custom_properties_for_organizations:write,discussions:write,environments:write,issue_fields:write,issue_types:write,issues:write,members:write,metadata:read,organization_actions_variables:write,organization_administration:write,organization_custom_properties:write,organization_events:read,organization_hooks:write,organization_plan:read,organization_projects:write,organization_secrets:read,organization_self_hosted_runners:write,pages:write,pull_requests:write,repository_custom_properties:write,repository_hooks:write,repository_projects:write,secret_scanning_dismissal_requests:write,security_events:write,statuses:write,workflows:write
